Row Labels,Sum of POPESTIMATE2017
Alabama,1.50%
Alaska,0.23%
Arizona,2.17%
Arkansas,0.92%
California,12.12%
Colorado,1.73%
Connecticut,1.10%
Delaware,0.29%
District of Columbia,0.21%
Florida,6.45%
Georgia,3.20%
Hawaii,0.44%
Idaho,0.53%
Illinois,3.93%
Indiana,2.05%
Iowa,0.97%
Kansas,0.90%
Kentucky,1.37%
Louisiana,1.44%
Maine,0.41%
Maryland,1.85%
Massachusetts,2.11%
Michigan,3.07%
Minnesota,1.71%
Mississippi,0.92%
Missouri,1.88%
Montana,0.32%
Nebraska,0.59%
Nevada,0.91%
New Hampshire,0.42%
New Jersey,2.73%
New Mexico,0.64%
New York,6.03%
North Carolina,3.16%
North Dakota,0.23%
Ohio,3.59%
Oklahoma,1.21%
Oregon,1.28%
Pennsylvania,3.93%
Rhode Island,0.32%
South Carolina,1.54%
South Dakota,0.27%
Tennessee,2.06%
Texas,8.71%
Utah,0.95%
Vermont,0.19%
Virginia,2.60%
Washington,2.28%
West Virginia,0.56%
Wisconsin,1.78%
Wyoming,0.18%
Grand Total,100.00%
